CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Balance_over_Salary,Tenure_over_Age,Age_Tenure,CreditScore_over_Age
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,1.1376926439837616,0.05263157894736842,36,14.473684210526315
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.5346197344944171,0.05405405405405406,35,20.972972972972972
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.5875182445487499,0.22727272727272727,34,15.863636363636363
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,1.6899241731836212,0.1388888888888889,31,16.25
788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.0,0.15151515151515152,28,23.87878787878788
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.7654306906556375,0.1951219512195122,33,15.975609756097562
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,2.4614847121412198,0.023809523809523808,41,14.30952380952381
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,1.1040594216637278,0.023255813953488372,42,14.395348837209303
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,1.4678907929586371,0.1111111111111111,40,14.577777777777778
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,1.6637132443616234,0.0,19,38.1578947368421
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,0.0,0.06060606060606061,62,7.742424242424242
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.8698167066022907,0.0784313725490196,47,12.03921568627451
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,1.619426060267494,0.14285714285714285,30,21.2
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,1.2042301811252034,0.3333333333333333,18,25.444444444444443
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.3136760434798731,0.030303030303030304,32,16.818181818181817
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.7918355997020474,0.14285714285714285,48,12.214285714285714
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,1.17584642592519,0.15384615384615385,22,23.192307692307693
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,6.1182094331221295,0.16666666666666666,30,20.86111111111111
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.9203264539260578,0.029411764705882353,33,17.08823529411765
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.6263179726295305,0.23255813953488372,33,17.093023255813954
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1.3261455864736704,0.14285714285714285,30,18.885714285714286
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,5.404233368126133,0.38095238095238093,13,32.142857142857146
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,4.713685060827113,0.034482758620689655,56,12.724137931034482
813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.0,0.20689655172413793,23,28.03448275862069
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,3.701222639358151,0.0,37,17.756756756756758
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,2.7004869853411475,0.2,20,24.16
519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.0,0.25,27,14.416666666666666
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,7.982767107378953,0.047619047619047616,20,35.0
664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.0,0.14545454545454545,47,12.072727272727272
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.0,0.28125,23,21.1875
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.39772120653236415,0.15151515151515152,28,22.939393939393938
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,1.2430077187952466,0.24390243902439024,31,10.146341463414634
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.5638146924813343,0.029411764705882353,33,19.558823529411764
777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.0,0.0625,30,24.28125
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.0,0.08333333333333333,33,15.083333333333334
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.5671332026964625,0.11764705882352941,30,14.882352941176471
493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.0,0.08695652173913043,42,10.717391304347826
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0.0,0.13333333333333333,65,8.693333333333333
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.945885037975146,0.13636363636363635,19,34.09090909090909
729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.0,0.3,21,24.3
646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.0,0.08695652173913043,42,14.043478260869565
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.520587805348458,0.10714285714285714,25,22.678571428571427
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.0,0.11363636363636363,39,14.704545454545455
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.8062568246327154,0.15555555555555556,38,17.955555555555556
524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.0,0.2777777777777778,26,14.555555555555555
769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.0,0.27586206896551724,21,26.517241379310345
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.0,0.09523809523809523,38,17.38095238095238
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,1.453472763106317,0.2857142857142857,25,14.714285714285714
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,1.5918730866433677,0.21951219512195122,32,18.853658536585368
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.4921345527205952,0.27586206896551724,21,28.06896551724138
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.0,0.36363636363636365,14,32.27272727272727
413,France,Male,34,9,0.0,2,0,0,6534.18,0,0.0,0.2647058823529412,25,12.147058823529411
665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.0,0.15,34,16.625
623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.0,0.13636363636363635,38,14.159090909090908
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,1.9698053786068,0.2903225806451613,22,23.806451612903224
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.0,0.19444444444444445,29,14.666666666666666
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.0,0.015384615384615385,64,10.307692307692308
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,3.4556942660851733,0.08695652173913043,42,13.521739130434783
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,8.845626797075546,0.03125,31,18.1875
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,2.699195327196827,0.05555555555555555,34,21.805555555555557
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,2.0886024603275213,0.15151515151515152,28,18.333333333333332
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.933474315599841,0.2571428571428571,26,13.685714285714285
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,1.435204131453732,0.1,27,22.833333333333332
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,3.968053626604131,0.1794871794871795,32,13.794871794871796
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,1.154854159818824,0.047619047619047616,40,13.380952380952381
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,4.618120909859479,0.25,27,18.75
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1.524917142920885,0.32142857142857145,19,25.75
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,1.7844525073976194,0.3,21,20.933333333333334
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,1.4516333646926118,0.16216216216216217,31,18.054054054054053
506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.0,0.024390243902439025,40,12.341463414634147
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0.5398343695811534,0.25806451612903225,23,16.903225806451612
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,1.5324583678433508,0.11764705882352941,30,20.558823529411764
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,3.394370101361673,0.23529411764705882,26,24.352941176470587
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,1.2003623255347122,0.15384615384615385,33,17.28205128205128
656,France,Female,39,6,0.0,2,1,0,141069.88,0,0.0,0.15384615384615385,33,16.82051282051282
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0.6378883977619471,0.20833333333333334,38,14.25
625,France,Female,28,3,0.0,1,0,0,183646.41,0,0.0,0.10714285714285714,25,22.321428571428573
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1.3839669691010512,0.21428571428571427,33,10.285714285714286
549,France,Female,52,1,0.0,1,0,1,8636.05,1,0.0,0.019230769230769232,51,10.557692307692308
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,3.17159974098797,0.0,56,11.160714285714286
828,France,Female,41,7,0.0,2,1,0,171378.77,0,0.0,0.17073170731707318,34,20.195121951219512
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0.6088083950175883,0.375,15,32.083333333333336
758,France,Female,34,3,0.0,2,1,1,124226.16,0,0.0,0.08823529411764706,31,22.294117647058822
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,1.138575637526568,0.2727272727272727,24,24.09090909090909
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,3.442143364239482,0.23684210526315788,29,18.07894736842105
686,France,Male,25,1,0.0,2,0,1,16459.37,0,0.0,0.04,24,27.44
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,1.003354845886717,0.1794871794871795,32,20.23076923076923
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,4.146821677428069,0.1,45,11.78
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0.3794391822642741,0.14705882352941177,29,13.558823529411764
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,1.4325402558505127,0.05,38,15.925
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,2.835852250993697,0.041666666666666664,46,12.166666666666666
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,15.073090725808798,0.02857142857142857,34,16.542857142857144
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0.7251728491394341,0.22727272727272727,34,17.181818181818183
663,France,Male,34,7,0.0,2,1,1,180427.24,0,0.0,0.20588235294117646,27,19.5
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0.6510087791468093,0.11627906976744186,38,15.86046511627907
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,0.0,0.038461538461538464,50,15.25
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0.32417641361676347,0.16129032258064516,26,22.29032258064516
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,2.090027428128146,0.23809523809523808,16,23.095238095238095
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0.9803043774217084,0.27586206896551724,21,21.896551724137932
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,4.36689320241698,0.13513513513513514,32,17.56756756756757
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,1.612607324195705,0.20454545454545456,35,16.704545454545453
416,France,Male,32,0,0.0,2,0,1,878.87,0,0.0,0.0,32,13.0
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0.0,0.21875,25,23.5625
535,France,Female,48,9,0.0,1,1,0,149892.79,1,0.0,0.1875,39,11.145833333333334
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0.0,0.19047619047619047,34,17.047619047619047
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,1.293608513331783,0.05405405405405406,35,14.567567567567568
614,France,Female,43,6,0.0,2,1,1,109041.53,0,0.0,0.13953488372093023,37,14.279069767441861
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,0.0,0.12280701754385964,50,12.385964912280702
758,France,Female,33,7,0.0,2,0,0,82996.47,0,0.0,0.21212121212121213,26,22.96969696969697
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0.0,0.07142857142857142,26,20.928571428571427
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0.9287582675497609,0.0821917808219178,67,8.849315068493151
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,1.0937027038563347,0.12121212121212122,29,19.12121212121212
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,1.1931614520783815,0.2727272727272727,16,32.59090909090909
684,France,Male,30,2,0.0,2,1,0,83473.82,0,0.0,0.06666666666666667,28,22.8
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,2.2919280188417597,0.14285714285714285,42,16.3265306122449
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0.0,0.05555555555555555,34,20.02777777777778
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,2.405483628491969,0.0,29,23.551724137931036
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0.8950152647628306,0.2903225806451613,22,21.29032258064516
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0.6955803038802615,0.2916666666666667,17,29.333333333333332
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0.554774820310396,0.21951219512195122,32,15.0
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,0.0,0.05128205128205128,37,17.102564102564102
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,1.0902526240112318,0.375,15,28.416666666666668
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0.7932938900750399,0.13793103448275862,25,16.689655172413794
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0.6142843424641096,0.18518518518518517,22,23.25925925925926
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,23.68274709010178,0.22727272727272727,34,10.909090909090908
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1.5105308444080607,0.13333333333333333,26,19.266666666666666
512,France,Male,40,5,0.0,2,1,1,146457.83,0,0.0,0.125,35,12.8
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,4.9060954112167,0.2,28,13.82857142857143
510,France,Female,30,0,0.0,2,1,1,130553.47,0,0.0,0.0,30,17.0
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,1.0620433383779786,0.1388888888888889,31,16.833333333333332
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,1.0761705832773758,0.2,32,14.925
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,19.998986492757567,0.05454545454545454,52,13.709090909090909
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,6.2780038496086235,0.044444444444444446,43,18.88888888888889
510,France,Male,65,2,0.0,2,1,1,48071.61,0,0.0,0.03076923076923077,63,7.846153846153846
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0.929062282077017,0.022222222222222223,44,17.288888888888888
636,France,Male,42,2,0.0,2,1,1,55470.78,0,0.0,0.047619047619047616,40,15.142857142857142
804,France,Female,50,4,0.0,1,1,1,8546.87,1,0.0,0.08,46,16.08
514,France,Male,32,8,0.0,2,1,0,95857.18,0,0.0,0.25,24,16.0625
730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0.507888192512996,0.02564102564102564,38,18.71794871794872
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0.0,0.0,37,14.18918918918919
616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0.0,0.16666666666666666,25,20.533333333333335
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0.7497617873848413,0.20588235294117646,27,20.205882352941178
715,France,Female,41,8,56214.85,2,0,0,92982.61,1,0.6045738014882568,0.1951219512195122,33,17.4390243902439
512,France,Female,36,3,84327.77,2,1,0,17675.36,0,4.77092234613609,0.08333333333333333,33,14.222222222222221
479,France,Male,40,1,0.0,2,0,0,114996.43,0,0.0,0.025,39,11.975
601,France,Male,32,8,93012.89,1,1,0,86957.42,0,1.0696371856478724,0.25,24,18.78125
580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0.48181995630780666,0.3103448275862069,20,20.0
807,France,Male,35,3,174790.15,1,1,1,600.36,0,291.1422313278699,0.08571428571428572,32,23.057142857142857
616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,0.0,0.1875,26,19.25
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0.6792350038261915,0.08108108108108109,34,19.486486486486488
501,France,Male,57,10,0.0,2,1,1,47847.19,0,0.0,0.17543859649122806,47,8.789473684210526
521,France,Male,35,6,96423.84,1,1,0,10488.44,0,9.19334429142942,0.17142857142857143,29,14.885714285714286
850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,23.592387340671106,0.06666666666666667,28,28.333333333333332
759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0.8683057096397913,0.09523809523809523,38,18.071428571428573
516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,0.0,0.1,45,10.32
711,France,Female,38,2,129022.06,2,1,1,14374.86,1,8.975535066080644,0.05263157894736842,36,18.710526315789473
512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,1.8661158032199379,0.09090909090909091,30,15.515151515151516
550,France,Male,37,3,0.0,1,1,1,179670.31,0,0.0,0.08108108108108109,34,14.864864864864865
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,0.4503848729337797,0.07317073170731707,38,14.829268292682928
618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0.8881252460030934,0.14705882352941177,29,18.176470588235293
643,France,Male,45,5,0.0,1,1,0,142513.5,1,0.0,0.1111111111111111,40,14.28888888888889
671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0.6721454864643785,0.044444444444444446,43,14.911111111111111
689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0.9553242701847129,0.06060606060606061,31,20.87878787878788
603,France,Male,31,8,0.0,2,1,1,169915.02,0,0.0,0.25806451612903225,23,19.451612903225808
620,France,Female,41,9,0.0,2,0,0,88852.47,0,0.0,0.21951219512195122,32,15.121951219512194
676,France,Female,34,1,63095.01,1,1,1,40645.81,0,1.5523127722144054,0.029411764705882353,33,19.88235294117647
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,1.9575094369597845,0.15384615384615385,22,22.0
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,0.6764679218698623,0.14893617021276595,40,14.212765957446809
695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0.37225426807272444,0.15217391304347827,39,15.108695652173912
730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,0.0,0.2727272727272727,24,22.12121212121212
807,France,Male,43,1,105799.32,2,1,0,34888.04,1,3.0325383713157863,0.023255813953488372,42,18.767441860465116
592,France,Male,54,8,0.0,1,1,1,28737.71,1,0.0,0.14814814814814814,46,10.962962962962964
726,France,Female,31,9,114722.05,2,1,1,98178.57,0,1.1685039820808145,0.2903225806451613,22,23.419354838709676
514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,0.0,0.23333333333333334,23,17.133333333333333
567,France,Male,42,2,0.0,2,1,1,167984.61,0,0.0,0.047619047619047616,40,13.5
850,France,Male,33,10,0.0,1,1,0,4861.72,1,0.0,0.30303030303030304,23,25.757575757575758
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,0.9145033477247918,0.13333333333333333,39,14.911111111111111
670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0.8603048288630157,0.10810810810810811,33,18.10810810810811
694,France,Female,30,9,0.0,2,1,1,26960.31,0,0.0,0.3,21,23.133333333333333
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,0.8699612532380322,0.15384615384615385,33,14.025641025641026
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,1.2549293612887558,0.04,48,15.02
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,2.1430527483626554,0.10344827586206896,26,20.482758620689655
673,France,Male,72,1,0.0,2,0,1,111981.19,0,0.0,0.013888888888888888,71,9.347222222222221
610,France,Male,40,0,0.0,2,1,0,62232.6,0,0.0,0.0,40,15.25
512,France,Female,37,1,0.0,2,0,1,156105.03,0,0.0,0.02702702702702703,36,13.837837837837839
767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0.7973753421745094,0.15,17,38.35
585,France,Female,67,5,113978.97,2,0,1,93146.11,0,1.2236578639730633,0.07462686567164178,62,8.73134328358209
763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,2.9931844004143087,0.14285714285714285,36,18.166666666666668
712,France,Female,29,2,0.0,1,1,1,144375.0,0,0.0,0.06896551724137931,27,24.551724137931036
539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,2.0826568580437663,0.06976744186046512,40,12.534883720930232
668,France,Female,46,2,0.0,3,1,0,89048.46,1,0.0,0.043478260869565216,44,14.521739130434783
703,France,Male,28,2,81173.83,2,0,1,162812.16,0,0.49857350949707935,0.07142857142857142,26,25.107142857142858
662,Spain,Male,38,4,0.0,2,1,0,136259.65,0,0.0,0.10526315789473684,34,17.42105263157895
725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,0.9415639141892371,0.1282051282051282,34,18.58974358974359
703,France,Male,37,8,105961.68,2,0,1,74158.8,0,1.4288483632421236,0.21621621621621623,29,19.0
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,2.6050312961146496,0.08955223880597014,61,9.835820895522389
523,Spain,Male,34,7,0.0,2,1,0,62030.06,0,0.0,0.20588235294117646,27,15.382352941176471
635,France,Female,40,10,123497.58,1,1,0,131953.23,1,0.9359193405117858,0.25,30,15.875
772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,1.9190635152492006,0.2692307692307692,19,29.692307692307693
545,France,Female,26,1,0.0,2,1,1,199638.56,0,0.0,0.038461538461538464,25,20.96153846153846
634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0.6542684545469718,0.3333333333333333,16,26.416666666666668
739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,0.9404659622863285,0.14814814814814814,46,13.685185185185185
771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,0.7799822435507127,0.1388888888888889,31,21.416666666666668
587,Spain,Female,34,1,0.0,2,1,1,97932.68,0,0.0,0.029411764705882353,33,17.264705882352942
681,France,Female,79,0,0.0,2,0,1,170968.99,0,0.0,0.0,79,8.620253164556962
544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,1.3852217596047185,0.05405405405405406,35,14.702702702702704
696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,0.0,0.2857142857142857,20,24.857142857142858
766,Spain,Male,41,0,0.0,2,0,1,34283.23,0,0.0,0.0,41,18.682926829268293
